hr,workingday,temp,casual,registered,weathersit_2,weathersit_3,season_2,season_3,season_4
23,0,0.42,18,31,False,False,False,False,True
14,0,0.82,122,227,False,False,False,True,False
3,0,0.42,11,31,False,False,False,False,True
15,0,0.58,132,317,False,False,False,False,False
9,0,0.8,55,128,False,False,False,True,False
10,0,0.32,56,171,False,False,False,False,True
0,0,0.26,4,49,False,False,False,False,True
12,0,0.34,71,256,False,False,False,False,False
8,0,0.24,0,64,False,False,False,False,False
22,0,0.68,66,96,False,False,False,True,False
1,0,0.4,11,73,False,False,False,False,True
15,0,0.64,297,405,False,False,True,False,False
0,0,0.7,38,142,False,False,False,True,False
7,0,0.26,9,31,False,False,False,False,True
21,0,0.28,3,46,False,False,False,False,False
7,0,0.64,7,35,False,False,False,True,False
6,0,0.72,6,18,False,False,False,True,False
22,0,0.7,21,82,False,False,False,True,False
22,0,0.16,4,28,False,False,False,False,False
15,0,0.32,61,111,False,False,True,False,False
5,0,0.38,1,7,False,False,False,False,True
10,0,0.32,36,180,False,False,False,False,True
4,0,0.7,1,10,False,False,False,True,False
9,0,0.64,61,116,False,False,True,False,False
7,0,0.66,17,19,False,False,False,True,False
13,0,0.48,177,148,False,False,False,False,True
20,0,0.24,6,55,False,False,False,False,False
22,0,0.16,4,28,False,False,False,False,False
1,0,0.52,24,64,False,False,True,False,False
9,0,0.7,62,156,False,False,True,False,False
13,0,0.5,226,369,False,False,True,False,False
8,0,0.48,18,126,False,False,False,False,True
11,0,0.74,122,209,False,False,False,True,False
13,0,0.16,10,128,False,False,False,False,False
7,0,0.18,0,2,False,False,False,False,False
0,0,0.3,10,65,False,False,False,False,True
9,0,0.78,61,217,False,False,False,True,False
12,0,0.58,195,261,False,False,False,False,True
14,0,0.84,158,215,False,False,False,True,False
13,0,0.4,122,371,False,False,False,False,True
19,0,0.12,5,45,False,False,False,False,False
11,0,0.78,138,211,False,False,False,True,False
6,0,0.26,5,11,False,False,False,False,True
12,0,0.36,137,235,False,False,False,False,True
21,0,0.74,105,211,False,False,True,False,False
2,0,0.52,27,62,False,False,False,True,False
22,0,0.62,61,165,False,False,True,False,False
18,0,0.4,17,78,False,False,False,False,False
5,0,0.74,2,12,False,False,False,True,False
21,0,0.72,42,142,False,False,False,True,False
18,0,0.72,119,241,False,False,False,True,False
10,0,0.62,160,330,False,False,False,True,False
8,0,0.4,19,65,False,False,True,False,False
14,0,0.7,197,223,False,False,True,False,False
10,0,0.64,115,202,False,False,True,False,False
9,0,0.42,35,41,False,False,False,False,False
23,0,0.74,20,67,False,False,False,True,False
12,0,0.3,62,120,False,False,False,False,False
3,0,0.68,10,18,False,False,True,False,False
5,0,0.46,1,11,False,False,True,False,False
6,0,0.16,0,10,False,False,False,False,True
15,0,0.66,206,253,False,False,True,False,False
23,0,0.28,5,29,False,False,False,False,False
12,0,0.84,153,336,False,False,False,True,False
7,0,0.66,17,19,False,False,False,True,False
11,0,0.86,155,315,False,False,False,True,False
20,0,0.42,8,63,False,False,False,False,False
19,0,0.8,148,247,False,False,True,False,False
1,0,0.42,16,96,False,False,False,False,True
22,0,0.32,8,36,False,False,False,False,True
9,0,0.34,24,38,False,False,False,False,False
19,0,0.34,8,164,False,False,False,False,False
7,0,0.38,12,25,False,False,True,False,False
17,0,0.74,126,264,False,False,True,False,False
20,0,0.5,21,149,False,False,False,False,False
7,0,0.8,7,38,False,False,False,True,False
9,0,0.58,36,98,False,False,True,False,False
0,0,0.5,10,132,False,False,False,False,True
20,0,0.24,3,55,False,False,False,False,True
12,0,0.92,105,271,False,False,False,True,False
12,0,0.58,167,277,False,False,False,False,True
18,0,0.28,15,123,False,False,False,False,True
7,0,0.48,8,32,False,False,True,False,False
5,0,0.46,1,11,False,False,True,False,False
6,0,0.58,0,6,False,False,False,True,False
5,0,0.66,0,8,False,False,False,True,False
21,0,0.3,16,94,False,False,False,False,False
5,0,0.46,4,3,False,False,True,False,False
8,0,0.66,28,103,False,False,True,False,False
13,0,0.44,52,103,False,False,False,False,False
13,0,0.6,108,312,False,False,False,False,True
19,0,0.72,68,160,False,False,False,True,False
2,0,0.64,17,28,False,False,True,False,False
10,0,0.22,13,71,False,False,False,False,False
15,0,0.88,205,284,False,False,False,True,False
14,0,0.58,182,209,False,False,True,False,False
3,0,0.58,3,5,False,False,True,False,False
17,0,0.46,143,217,False,False,False,False,True
19,0,0.28,1,20,False,False,False,False,False
10,0,0.32,22,173,False,False,False,False,True
0,0,0.74,22,146,False,False,False,True,False
14,0,0.34,47,114,False,False,False,False,False
13,0,0.84,204,288,False,False,True,False,False
16,0,0.54,182,409,False,False,False,False,True
7,0,0.24,0,11,False,False,False,False,True
22,0,0.5,31,112,False,False,False,True,False
3,0,0.14,6,14,False,False,False,False,False
4,0,0.24,0,5,False,False,True,False,False
20,0,0.4,19,97,False,False,False,False,True
3,0,0.24,7,26,False,False,False,False,True
23,0,0.54,9,85,False,False,False,True,False
7,0,0.6,12,52,False,False,False,True,False
6,0,0.28,2,14,False,False,False,False,True
3,0,0.64,21,26,False,False,False,True,False
3,0,0.5,4,25,False,False,True,False,False
22,0,0.32,13,78,False,False,False,False,True
18,0,0.46,174,299,False,False,False,False,True
1,0,0.26,11,104,False,False,False,False,True
15,0,0.34,54,235,False,False,False,False,False
9,0,0.62,129,184,False,False,True,False,False
0,0,0.2,5,34,False,False,False,False,False
5,0,0.5,1,5,False,False,True,False,False
10,0,0.32,71,147,False,False,False,False,False
23,0,0.46,32,86,False,False,True,False,False
5,0,0.38,4,8,False,False,True,False,False
13,0,0.64,267,347,False,False,True,False,False
15,0,0.84,218,337,False,False,True,False,False
6,0,0.5,4,21,False,False,True,False,False
23,0,0.84,34,114,False,False,False,True,False
10,0,0.8,111,253,False,False,False,True,False
16,0,0.5,208,301,False,False,False,False,False
6,0,0.24,0,5,False,False,False,False,False
22,0,0.56,38,87,False,False,False,False,True
16,0,0.76,213,300,False,False,False,True,False
15,0,0.68,198,209,False,False,False,False,True
4,0,0.44,2,6,False,False,False,False,True
8,0,0.5,26,187,False,False,False,False,True
20,0,0.7,91,128,False,False,True,False,False
19,0,0.52,70,186,False,False,False,True,False
20,0,0.54,53,138,False,False,True,False,False
14,0,0.74,113,146,False,False,False,True,False
0,0,0.34,9,38,False,False,False,False,True
18,0,0.82,132,246,False,False,False,True,False
4,0,0.24,0,5,False,False,False,False,False
2,0,0.28,3,48,False,False,False,False,False
15,0,0.48,145,254,False,False,False,False,False
20,0,0.74,48,327,False,False,True,False,False
5,0,0.46,2,19,False,False,False,False,True
5,0,0.5,2,13,False,False,False,False,True
18,0,0.82,175,276,False,False,True,False,False
23,0,0.14,0,23,False,False,False,False,False
0,0,0.32,16,106,False,False,False,False,True
0,0,0.58,15,79,False,False,True,False,False
19,0,0.2,12,90,False,False,False,False,False
12,0,0.8,227,329,False,False,False,True,False
6,0,0.5,4,33,False,False,False,False,True
4,0,0.24,1,3,False,False,False,False,False
16,0,0.54,229,312,False,False,False,False,False
3,0,0.2,2,7,False,False,True,False,False
2,0,0.22,0,15,False,False,False,False,False
23,0,0.46,18,49,False,False,False,False,True
8,0,0.68,38,94,False,False,False,True,False
7,0,0.24,4,19,False,False,False,False,False
19,0,0.5,61,177,False,False,False,False,True
17,0,0.32,31,275,False,False,False,False,False
16,0,0.74,116,176,False,False,False,True,False
21,0,0.26,4,15,False,False,False,False,False
7,0,0.76,3,39,False,False,False,True,False
21,0,0.62,60,148,False,False,False,True,False
7,0,0.72,18,49,False,False,False,True,False
15,0,0.52,321,305,False,False,True,False,False
23,0,0.14,0,23,False,False,False,False,False
9,0,0.66,130,140,False,False,True,False,False
0,0,0.56,31,117,False,False,True,False,False
19,0,0.74,178,150,False,False,False,True,False
20,0,0.16,10,85,False,False,False,False,False
20,0,0.3,7,119,False,False,False,False,False
0,0,0.64,38,65,False,False,True,False,False
13,0,0.44,219,148,False,False,True,False,False
17,0,0.42,66,121,False,False,False,False,False
14,0,0.46,102,94,False,False,False,False,False
10,0,0.72,114,208,False,False,False,True,False
17,0,0.64,61,172,False,False,False,True,False
3,0,0.3,0,7,False,False,False,False,False
23,0,0.66,25,65,False,False,True,False,False
3,0,0.32,1,19,False,False,False,False,False
7,0,0.46,28,67,False,False,True,False,False
3,0,0.28,3,15,False,False,False,False,False
8,0,0.64,24,65,False,False,False,True,False
20,0,0.44,65,159,False,False,True,False,False
5,0,0.66,0,8,False,False,False,True,False
18,0,0.76,187,169,False,False,False,True,False
0,0,0.26,4,30,False,False,False,False,False
1,0,0.32,5,57,False,False,False,False,True
20,0,0.52,44,97,False,False,True,False,False
16,0,0.76,213,300,False,False,False,True,False
15,0,0.34,110,109,False,False,True,False,False
17,0,0.64,193,346,False,False,False,False,True
1,0,0.46,2,93,False,False,False,False,True
2,0,0.6,5,9,False,False,True,False,False
2,0,0.66,33,79,False,False,False,True,False
13,0,0.94,118,219,False,False,False,True,False
9,0,0.62,129,184,False,False,True,False,False
4,0,0.14,0,1,False,False,False,False,False
2,0,0.54,18,41,False,False,True,False,False
5,0,0.34,0,6,False,False,True,False,False
1,0,0.56,25,116,False,False,False,False,True
23,0,0.7,14,64,False,False,False,True,False
16,0,0.6,119,223,False,False,True,False,False
5,0,0.72,4,4,False,False,False,True,False
17,0,0.8,122,314,False,False,False,True,False
16,0,0.6,119,223,False,False,True,False,False
11,0,0.46,184,279,False,False,True,False,False
15,0,0.72,232,274,False,False,True,False,False
18,0,0.72,74,155,False,False,False,True,False
4,0,0.72,4,6,False,False,False,True,False
4,0,0.44,7,7,False,False,False,False,True
19,0,0.72,94,217,False,False,True,False,False
13,0,0.6,169,269,False,False,False,False,True
23,0,0.64,60,175,False,False,False,True,False
16,0,0.74,116,176,False,False,False,True,False
19,0,0.44,73,259,False,False,False,False,True
19,0,0.3,4,54,False,False,False,False,False
4,0,0.5,0,5,False,False,True,False,False
12,0,0.9,85,161,False,False,False,True,False
9,0,0.52,50,157,False,False,False,False,True
17,0,0.56,233,308,False,False,False,False,False
5,0,0.64,2,4,False,False,False,True,False
4,0,0.28,0,4,False,False,False,False,False
3,0,0.12,3,7,False,False,False,False,False
19,0,0.56,61,178,False,False,True,False,False
10,0,0.36,62,258,False,False,False,False,True
22,0,0.6,55,98,False,False,True,False,False
23,0,0.48,52,90,False,False,False,False,True
19,0,0.3,31,144,False,False,False,False,True
4,0,0.64,2,8,False,False,False,True,False
1,0,0.24,2,25,False,False,False,False,False
3,0,0.22,1,7,False,False,False,False,False
21,0,0.66,60,126,False,False,False,True,False
16,0,0.12,11,72,False,False,False,False,False
21,0,0.18,5,64,False,False,False,False,False
11,0,0.82,153,168,False,False,True,False,False
12,0,0.84,157,330,False,False,False,True,False
17,0,0.92,114,206,False,False,False,True,False
1,0,0.46,14,51,False,False,False,False,True
15,0,0.74,174,229,False,False,False,True,False
11,0,0.7,189,437,False,False,False,True,False
23,0,0.62,25,61,False,False,True,False,False
11,0,0.32,28,89,False,False,False,False,False
0,0,0.66,33,76,False,False,False,True,False
0,0,0.24,3,13,False,False,False,False,False
11,0,0.26,33,103,False,False,False,False,False
18,0,0.4,55,92,False,False,False,False,False
2,0,0.48,21,71,False,False,False,False,True
14,0,0.62,208,404,False,False,False,False,True
3,0,0.32,2,13,False,False,False,False,True
14,0,0.72,236,307,False,False,True,False,False
5,0,0.26,2,2,False,False,False,False,True
8,0,0.16,4,68,False,False,False,False,True
9,0,0.5,88,240,False,False,False,False,True
20,0,0.86,237,314,False,False,False,True,False
1,0,0.26,26,139,False,False,False,False,True
21,0,0.68,71,93,False,False,False,True,False
6,0,0.34,0,2,False,False,False,False,False
10,0,0.8,116,153,False,False,True,False,False
19,0,0.3,1,24,False,False,False,False,False
22,0,0.4,27,45,False,False,False,False,False
1,0,0.62,12,35,False,False,False,True,False
0,0,0.22,2,26,False,False,False,False,False
23,0,0.7,20,48,False,False,False,True,False
14,0,0.8,168,262,False,False,False,True,False
2,0,0.26,11,51,False,False,False,False,True
8,0,0.78,36,106,False,False,False,True,False
5,0,0.62,3,14,False,False,False,True,False
23,0,0.2,10,39,False,False,False,False,False
4,0,0.34,0,4,False,False,False,False,True
9,0,0.7,72,150,False,False,False,True,False
12,0,0.62,120,247,False,False,True,False,False
22,0,0.4,27,45,False,False,False,False,False
15,0,0.84,194,182,False,False,False,True,False
10,0,0.42,187,176,False,False,True,False,False
3,0,0.38,12,29,False,False,False,False,True
13,0,0.88,208,315,False,False,False,True,False
21,0,0.7,69,200,False,False,False,True,False
16,0,0.82,236,216,False,False,False,True,False
19,0,0.3,6,63,False,False,False,False,False
18,0,0.7,184,295,False,False,True,False,False
2,0,0.54,14,55,False,False,True,False,False
20,0,0.74,48,327,False,False,True,False,False
4,0,0.36,5,9,False,False,True,False,False
2,0,0.44,7,25,False,False,True,False,False
5,0,0.68,4,10,False,False,False,True,False
1,0,0.44,29,80,False,False,False,False,True
5,0,0.24,2,5,False,False,False,False,False
2,0,0.48,4,15,False,False,False,False,True
0,0,0.64,18,98,False,False,True,False,False
16,0,0.86,152,343,False,False,False,True,False
8,0,0.7,30,62,False,False,False,True,False
5,0,0.5,1,5,False,False,True,False,False
12,0,0.62,206,474,False,False,False,False,True
13,0,0.3,18,210,False,False,False,False,True
13,0,0.54,97,216,False,False,False,False,True
10,0,0.56,107,158,False,False,False,False,True
8,0,0.5,26,187,False,False,False,False,True
17,0,0.42,30,95,False,False,False,False,False
19,0,0.74,148,317,False,False,False,True,False
10,0,0.7,85,233,False,False,False,True,False
11,0,0.7,189,437,False,False,False,True,False
20,0,0.5,24,115,False,False,False,False,True
20,0,0.76,113,250,False,False,True,False,False
17,0,0.24,15,129,False,False,False,False,False
23,0,0.2,6,31,False,False,False,False,True
23,0,0.44,34,91,False,False,True,False,False
13,0,0.48,84,91,False,False,False,False,True
4,0,0.44,9,9,False,False,False,False,True
22,0,0.56,18,109,False,False,False,True,False
18,0,0.32,21,54,False,False,False,False,False
2,0,0.38,3,53,False,False,True,False,False
4,0,0.34,0,4,False,False,False,False,True
22,0,0.26,5,25,False,False,True,False,False
11,0,0.32,64,192,False,False,False,False,False
23,0,0.66,52,156,False,False,False,True,False
8,0,0.74,32,111,False,False,True,False,False
13,0,0.64,293,366,False,False,True,False,False
22,0,0.56,38,87,False,False,False,False,True
12,0,0.62,200,362,False,False,False,False,True
22,0,0.14,0,28,False,False,False,False,False
6,0,0.12,1,1,False,False,False,False,False
7,0,0.6,12,52,False,False,False,True,False
10,0,0.82,79,182,False,False,False,True,False
11,0,0.2,18,54,False,False,False,False,False
2,0,0.66,33,79,False,False,False,True,False
14,0,0.82,260,366,False,False,False,True,False
14,0,0.8,248,290,False,False,False,True,False
3,0,0.62,9,42,False,False,False,True,False
22,0,0.54,58,153,False,False,False,False,False
0,0,0.56,31,117,False,False,True,False,False
17,0,0.9,75,174,False,False,False,True,False
6,0,0.66,3,12,False,False,False,True,False
9,0,0.28,17,42,False,False,False,False,False
18,0,0.26,13,113,False,False,False,False,False
0,0,0.64,32,51,False,False,True,False,False
17,0,0.92,90,323,False,False,False,True,False
10,0,0.38,12,24,False,False,False,False,False
18,0,0.26,22,123,False,False,False,False,True
7,0,0.14,0,3,False,False,False,False,False
8,0,0.78,36,106,False,False,False,True,False
11,0,0.42,192,335,False,False,False,False,True
12,0,0.76,214,221,False,False,False,True,False
14,0,0.96,77,235,False,False,False,True,False
19,0,0.3,12,120,False,False,False,False,False
9,0,0.82,51,168,False,False,False,True,False
3,0,0.22,1,7,False,False,False,False,False
6,0,0.32,0,4,False,False,False,False,False
9,0,0.36,19,96,False,False,False,False,True
2,0,0.46,20,35,False,False,False,False,True
15,0,0.34,39,98,False,False,False,False,False
18,0,0.42,53,150,False,False,False,False,True
13,0,0.74,289,355,False,False,False,True,False
6,0,0.24,1,10,False,False,False,False,True
16,0,0.36,68,231,False,False,False,False,False
1,0,0.34,26,82,False,False,False,False,True
4,0,0.6,3,6,False,False,False,True,False
14,0,0.64,259,388,False,False,True,False,False
8,0,0.7,37,90,False,False,False,True,False
8,0,0.08,0,26,False,False,False,False,False
11,0,0.26,33,103,False,False,False,False,False
0,0,0.64,63,77,False,False,False,True,False
8,0,0.22,0,18,False,False,False,False,False
10,0,0.6,118,171,False,False,True,False,False
21,0,0.36,18,109,False,False,False,False,False
18,0,0.5,25,130,False,False,False,False,True
17,0,0.44,66,43,False,False,False,False,True
20,0,0.78,114,203,False,False,True,False,False
10,0,0.76,120,191,False,False,True,False,False
12,0,0.44,166,147,False,False,True,False,False
19,0,0.74,148,317,False,False,False,True,False
6,0,0.5,4,33,False,False,False,False,True
23,0,0.22,0,8,False,False,False,False,False
17,0,0.54,37,167,False,False,False,False,True
12,0,0.62,191,255,False,False,False,False,True
20,0,0.3,7,119,False,False,False,False,False
11,0,0.72,268,251,False,False,True,False,False
1,0,0.66,32,84,False,False,False,True,False
4,0,0.34,0,2,False,False,False,False,False
20,0,0.42,39,69,False,False,False,False,False
20,0,0.82,47,98,False,False,False,True,False
9,0,0.64,99,241,False,False,True,False,False
22,0,0.78,38,134,False,False,False,True,False
1,0,0.34,1,19,False,False,False,False,True
7,0,0.12,2,9,False,False,False,False,False
6,0,0.36,7,21,False,False,True,False,False
3,0,0.26,0,16,False,False,False,False,False
17,0,0.28,13,150,False,False,False,False,True
18,0,0.52,102,303,False,False,False,False,True
13,0,0.5,181,162,False,False,True,False,False
22,0,0.72,57,100,False,False,False,True,False
11,0,0.76,215,291,False,False,False,True,False
18,0,0.38,58,98,False,False,False,False,False
7,0,0.24,8,70,False,False,False,False,True
8,0,0.7,43,110,False,False,False,True,False
2,0,0.46,10,46,False,False,True,False,False
0,0,0.3,9,68,False,False,False,False,False
13,0,0.74,79,184,False,False,True,False,False
2,0,0.48,4,15,False,False,False,False,True
11,0,0.76,215,291,False,False,False,True,False
20,0,0.44,28,121,False,False,False,False,False
13,0,0.68,255,347,False,False,True,False,False
8,0,0.66,30,132,False,False,False,True,False
13,0,0.34,76,122,False,False,False,False,False
18,0,0.38,58,98,False,False,False,False,False
16,0,0.84,173,335,False,False,True,False,False
6,0,0.44,5,39,False,False,False,False,True
13,0,0.64,293,366,False,False,True,False,False
3,0,0.3,0,7,False,False,False,False,False
7,0,0.6,9,28,False,False,False,True,False
2,0,0.8,12,48,False,False,False,True,False
0,0,0.7,42,112,False,False,False,True,False
8,0,0.52,28,58,False,False,True,False,False
15,0,0.38,26,105,False,False,False,False,False
12,0,0.74,140,252,False,False,False,True,False
16,0,0.24,22,77,False,False,False,False,False
15,0,0.78,218,192,False,False,False,True,False
19,0,0.72,180,342,False,False,False,True,False
8,0,0.56,29,97,False,False,True,False,False
5,0,0.5,1,11,False,False,True,False,False
10,0,0.24,31,193,False,False,False,False,False
14,0,0.32,61,103,False,False,True,False,False
13,0,0.76,129,302,False,False,False,True,False
9,0,0.5,71,205,False,False,False,False,True
18,0,0.82,141,222,False,False,False,True,False
20,0,0.6,100,209,False,False,True,False,False
15,0,0.48,132,96,False,False,False,False,True
15,0,0.36,68,242,False,False,False,False,False
11,0,0.58,142,198,False,False,True,False,False
1,0,0.46,25,88,False,False,False,False,False
5,0,0.34,0,4,False,False,False,False,False
7,0,0.4,9,39,False,False,False,False,True
8,0,0.64,25,69,False,False,False,True,False
16,0,0.5,175,129,False,False,False,False,False
9,0,0.24,15,53,False,False,False,False,False
6,0,0.26,0,1,False,False,False,False,False
22,0,0.24,4,78,False,False,False,False,False
21,0,0.72,83,170,False,False,True,False,False
1,0,0.3,14,81,False,False,False,False,True
23,0,0.46,9,41,False,False,True,False,False
12,0,0.74,156,253,False,False,False,True,False
18,0,0.54,121,251,False,False,False,False,True
16,0,0.46,100,144,False,False,False,False,False
12,0,0.62,260,355,False,False,True,False,False
9,0,0.26,25,99,False,False,False,False,True
21,0,0.7,69,200,False,False,False,True,False
17,0,0.92,161,253,False,False,False,True,False
10,0,0.8,111,253,False,False,False,True,False
5,0,0.28,1,3,False,False,False,False,False
1,0,0.66,17,61,False,False,True,False,False
0,0,0.5,24,106,False,False,False,False,True
11,0,0.74,150,332,False,False,False,True,False
5,0,0.66,5,14,False,False,False,True,False
2,0,0.26,9,41,False,False,False,False,True
21,0,0.7,88,257,False,False,False,True,False
0,0,0.62,34,146,False,False,False,False,True
17,0,0.54,151,342,False,False,False,False,True
1,0,0.82,25,99,False,False,False,True,False
1,0,0.34,26,82,False,False,False,False,True
22,0,0.5,31,112,False,False,False,True,False
20,0,0.64,57,174,False,False,True,False,False
19,0,0.52,110,236,False,False,True,False,False
11,0,0.74,122,209,False,False,False,True,False
22,0,0.64,25,73,False,False,False,True,False
3,0,0.64,21,26,False,False,False,True,False
0,0,0.48,17,72,False,False,False,False,True
0,0,0.26,8,26,False,False,False,False,False
21,0,0.38,8,61,False,False,False,False,False
15,0,0.68,198,209,False,False,False,False,True
11,0,0.34,48,206,False,False,False,False,True
3,0,0.44,5,18,False,False,False,False,True
15,0,0.6,148,230,False,False,True,False,False
3,0,0.4,1,19,False,False,False,False,True
12,0,0.48,258,348,False,False,False,False,True
16,0,0.44,52,143,False,False,False,False,False
6,0,0.26,1,1,False,False,False,False,False
13,0,0.32,64,161,False,False,False,False,True
1,0,0.64,18,64,False,False,True,False,False
4,0,0.44,7,7,False,False,False,False,True
16,0,0.72,186,188,False,False,False,True,False
12,0,0.62,250,418,False,False,True,False,False
19,0,0.7,99,308,False,False,False,True,False
4,0,0.6,3,8,False,False,False,True,False
22,0,0.24,7,69,False,False,False,False,True
11,0,0.56,144,270,False,False,True,False,False
13,0,0.82,233,435,False,False,False,True,False
21,0,0.62,60,148,False,False,False,True,False
13,0,0.5,108,205,False,False,False,False,False
8,0,0.48,38,137,False,False,False,False,True
15,0,0.42,69,227,False,False,False,False,True
23,0,0.22,2,32,False,False,False,False,False
22,0,0.6,78,126,False,False,True,False,False
2,0,0.24,3,15,False,False,False,False,True
